region_id,city_id,region_name,city_name,net_forest_emissions_01_to_23
13,10,Skåne,Höganäs,-251884.6269593967
13,11,Skåne,Höör,-2056463.7274831468
13,12,Skåne,Hörby,-2087237.3077955537
13,13,Skåne,Kävlinge,-200844.3747976662
13,14,Skåne,Klippan,-1319086.1136455117
13,15,Skåne,Kristianstad,-4477055.154221937
13,16,Skåne,Landskrona,-175388.16854512386
13,17,Skåne,Lomma,-45222.71183833458
13,18,Skåne,Lund,-1129926.6966297678
13,19,Skåne,Malmö,-79998.74917291201
13,20,Skåne,Örkelljunga,-727445.3677485025
13,21,Skåne,Osby,-1617594.0294221377
13,22,Skåne,Östra Göinge,-968847.5266436475
13,23,Skåne,Perstorp,-531693.7193706265
13,24,Skåne,Simrishamn,-958908.6793367836
13,25,Skåne,Sjöbo,-1302581.1254880375
13,26,Skåne,Skurup,-153844.75296880308
13,27,Skåne,Staffanstorp,-25580.11229336862
13,28,Skåne,Svalöv,-1763586.1305987667
13,29,Skåne,Svedala,-405626.09316190385
13,30,Skåne,Tomelilla,-1066525.6695160447
13,31,Skåne,Trelleborg,-84030.76947591039
13,32,Skåne,Vellinge,-148703.39464263406
13,33,Skåne,Ystad,-425728.85288514313
14,1,Södermanland,Eskilstuna,-553838.0378093903
14,2,Södermanland,Flen,-549211.6873982344
14,3,Södermanland,Gnesta,-877547.1463495542
14,4,Södermanland,Katrineholm,-95825.5705301767
14,5,Södermanland,Nyköping,-1926318.7912065985
14,6,Södermanland,Oxelösund,-161871.29278215984
14,7,Södermanland,Strängnäs,-1630778.4473936977
14,8,Södermanland,Trosa,-998595.8696338054
14,9,Södermanland,Vingåker,-485570.29633104644
15,1,Stockholm,Botkyrka,-806333.9454314748
15,2,Stockholm,Danderyd,-155842.15728129423
15,3,Stockholm,Ekerö,-1092106.455899379
15,4,Stockholm,Haninge,-3581776.359805391
15,5,Stockholm,Huddinge,-1033292.052177645
15,6,Stockholm,Järfälla,-224823.08139402623
15,7,Stockholm,Lidingö,-220758.01965206125
15,8,Stockholm,Nacka,-713660.93182644
15,9,Stockholm,Norrtälje,-9606764.700782778
15,10,Stockholm,Nykvarn,-186388.65753351577
15,11,Stockholm,Nynäshamn,-2292406.877687679
15,12,Stockholm,Österåker,-2294322.38336628
15,13,Stockholm,Salem,-241224.1398879492
15,14,Stockholm,Sigtuna,-587620.2861140431
15,15,Stockholm,Södertälje,-2106524.2102041123
15,16,Stockholm,Sollentuna,-255356.90350078492
15,17,Stockholm,Solna,-76731.72482737339
15,18,Stockholm,Stockholm,-692996.3555766843
15,19,Stockholm,Sundbyberg,-18065.167117935085
15,20,Stockholm,Täby,-241173.95828463673
15,21,Stockholm,Tyresö,-716851.9535438614
15,22,Stockholm,Upplands-Bro,-727352.5477402881
15,23,Stockholm,Upplands Vaesby,-288450.5323456664
15,24,Stockholm,Vallentuna,-1822856.0876130161
15,25,Stockholm,Värmdö,-3493034.996644936
15,26,Stockholm,Vaxholm,-412408.0007445227
16,1,Uppsala,Älvkarleby,-412551.00823893177
16,2,Uppsala,Enköping,-511744.05534913903
16,3,Uppsala,Håbo,-248320.13255111757
16,4,Uppsala,Knivsta,-266706.094485146
16,5,Uppsala,Östhammar,-3749366.619088876
16,6,Uppsala,Tierp,-5073729.429681538
16,7,Uppsala,Uppsala,-3906020.9806110603
17,1,Värmland,Årjäng,-7400944.496708208
17,2,Värmland,Arvika,-8786155.825241469
17,3,Värmland,Eda,-4698727.764326603
17,4,Värmland,Filipstad,-3844366.2491582977
17,5,Värmland,Forshaga,-938315.17354951
17,6,Värmland,Grums,-1524816.422622341
17,7,Värmland,Hagfors,-4652836.88700452
17,8,Värmland,Hammarö,-334592.1484397302
17,9,Värmland,Karlstad,-3373619.1797451954
17,10,Värmland,Kil,-1270094.194873957
17,11,Värmland,Kristinehamn,-2373807.8287006114
17,12,Värmland,Munkfors,-431975.15967338067
17,13,Värmland,Säffle,-6449652.318520281
17,14,Värmland,Storfors,-910129.9093970751
17,15,Värmland,Sunne,-3667618.7375671626
17,16,Värmland,Torsby,-23740016.54925307
18,1,Västerbotten,Åsele,-19010688.919233803
18,2,Västerbotten,Bjurholm,-5539080.152160514
18,3,Västerbotten,Dorotea,-18163451.13297302
18,4,Västerbotten,Lycksele,-24681291.96223328
18,5,Västerbotten,Malå,-9441633.445332266
18,6,Västerbotten,Nordmaling,-7860077.4601643635
18,7,Västerbotten,Norsjö,-7772156.557957582
18,8,Västerbotten,Robertsfors,-4230684.3450250365
18,9,Västerbotten,Skellefteå,-24615720.080452487
18,10,Västerbotten,Sorsele,-41535711.87216789
18,11,Västerbotten,Storuman,-40564419.37799344
18,12,Västerbotten,Umeå,-7041716.727545455
18,13,Västerbotten,Vännäs,-2290720.0785399643
18,14,Västerbotten,Vilhelmina,-46065091.77693361
18,15,Västerbotten,Vindeln,-8740191.595456762
19,1,Västernorrland,Ånge,-9929024.472804228
19,2,Västernorrland,Härnösand,-6710786.013396887
19,3,Västernorrland,Kramfors,-9120811.315338863
19,4,Västernorrland,Örnsköldsvik,-28681716.45719194
19,5,Västernorrland,Sollefteå,-19476869.56223727
19,6,Västernorrland,Sundsvall,-11464294.32446596
19,7,Västernorrland,Timrå,-4489699.085564474
20,1,Västmanland,Arboga,-510386.8465943495
20,2,Västmanland,Fagersta,-745586.6480458076
20,3,Västmanland,Hallstahammar,-60323.43386759614
20,4,Västmanland,Heby,-1695736.6452341198
20,5,Västmanland,Köping,-437560.7466514974
20,6,Västmanland,Kungsör,-417793.04299628653
20,7,Västmanland,Norberg,-1086065.6136873958
20,8,Västmanland,Sala,244391.19657647412
20,9,Västmanland,Skinnskatteberg,-463216.861549505
20,10,Västmanland,Surahammar,-219772.7747552643
20,11,Västmanland,Västerås,-80174.78680100797
21,1,Västra Götaland,Ale,-2100152.114872492
21,2,Västra Götaland,Alingsås,-2232055.7366219023
21,3,Västra Götaland,Åmål,-2692194.5533603244
21,4,Västra Götaland,Bengtsfors,-5651489.4999615215
21,5,Västra Götaland,Bollebygd,-1434602.2181132575
21,6,Västra Götaland,Borås,-5420052.801591547
21,7,Västra Götaland,Dals-Ed,-4355381.753325593
21,8,Västra Götaland,Essunga,-610985.313631193
21,9,Västra Götaland,Falköping,-3413013.4062803597
21,10,Västra Götaland,Färgelanda,-3046833.758389058
21,11,Västra Götaland,Göteborg,-2875117.1088987067
21,12,Västra Götaland,Götene,-1261544.7170130606
21,13,Västra Götaland,Grästorp,-604806.6325213066
21,14,Västra Götaland,Gullspång,-1099225.2498045983
21,15,Västra Götaland,Habo,-1033803.9415462458
21,16,Västra Götaland,Härryda,-1664850.8728135738
21,17,Västra Götaland,Herrljunga,-1628598.5307505478
21,18,Västra Götaland,Hjo,-889620.6739608088
21,19,Västra Götaland,Karlsborg,-2060609.855272957
21,20,Västra Götaland,Kungälv,-2355273.9417725625
21,21,Västra Götaland,Lerum,-1884179.1399818158
21,22,Västra Götaland,Lidköping,-1565937.4515132285
21,23,Västra Götaland,Lilla Edet,-1742828.0993970376
21,24,Västra Götaland,Lysekil,-1173324.4688846706
21,25,Västra Götaland,Mariestad,-1927233.2418565222
21,26,Västra Götaland,Mark,-4766246.505664225
21,27,Västra Götaland,Mellerud,-1963719.96868138
21,28,Västra Götaland,Mölndal,-1150566.3536681882
21,29,Västra Götaland,Mullsjö,-547013.8017170004
21,30,Västra Götaland,Munkedal,-3943911.4871119256
21,31,Västra Götaland,Öckerö,-51597.33235052155
21,32,Västra Götaland,Orust,-2591651.4567979337
21,33,Västra Götaland,Partille,-600920.8090409401
21,34,Västra Götaland,Skara,-1475895.0884847112
21,35,Västra Götaland,Skövde,-2557345.764326906
21,36,Västra Götaland,Sotenäs,-652919.8782441248
21,37,Västra Götaland,Stenungsund,-1932644.8165477049
21,38,Västra Götaland,Strömstad,-2380918.5172504378
21,39,Västra Götaland,Svenljunga,-4539154.040194286
