Region,City,Average Yearly Net Tree Emissions
Blekinge,Karlshamn,-94359.59993125727
Blekinge,Karlskrona,-176354.58993460852
Blekinge,Olofstroem,-63748.06886762869
Blekinge,Ronneby,-113258.49075472486
Blekinge,Soelvesborg,-30173.416725697578
Dalarna,Aelvdalen,-1192878.193213086
Dalarna,Avesta,-47318.50764945974
Dalarna,Borlaenge,-81035.22811371845
Dalarna,Falun,-249194.43362236302
Dalarna,Gagnef,-80392.01824136719
Dalarna,Hedemora,-29822.111946413243
Dalarna,Leksand,-166934.94019876418
Dalarna,Ludvika,-232030.3401789654
Dalarna,Malung,-869334.8243907915
Dalarna,Mora,-458661.78659587866
Dalarna,Orsa,-347367.00722009665
Dalarna,Raettvik,-200658.80708653855
Dalarna,Saeter,-54075.7481574925
Dalarna,Smedjebacken,-114369.92677578422
Dalarna,Vansbro,-285749.9917680219
Gaevleborg,Bollnaes,-156556.52231375757
Gaevleborg,Gaevle,-217971.112824033
Gaevleborg,Hofors,-47408.72472336676
Gaevleborg,Hudiksvall,-429046.8241073434
Gaevleborg,Ljusdal,-335309.66652636544
Gaevleborg,Nordanstig,-279176.7812498436
Gaevleborg,Ockelbo,-60435.10523795746
Gaevleborg,Ovanaaker,-115440.03428872209
Gaevleborg,Sandviken,-114470.62260521603
Gaevleborg,Soederhamn,-68450.40921980803
Gotland,Gotland,-478746.9657919682
Halland,Falkenberg,-142925.17564979885
Halland,Halmstad,-144742.12195033184
Halland,Hylte,-191033.21379933943
Halland,Kungsbacka,-128633.715630231
Halland,Laholm,-146336.13358538706
Halland,Varberg,-148715.20641376099
Jaemtland,Aare,-1492870.73082344
Jaemtland,Berg,-925130.9713134036
Jaemtland,Braecke,-817994.4372698065
Jaemtland,Haerjedalen,-1692450.2215916405
Jaemtland,Krokom,-1565948.0767436961
Jaemtland,Oestersund,-500726.4595638443
Jaemtland,Ragunda,-436861.74741472263
Jaemtland,Stroemsund,-2472216.7582909972
Joenkoeping,Aneby,-115387.94637108113
Joenkoeping,Eksjoe,-125053.32732084964
Joenkoeping,Gislaved,-198367.56798408678
Joenkoeping,Gnosjoe,-74320.24760825842
Joenkoeping,Joenkoeping,-286868.2685583176
Joenkoeping,Naessjoe,-233864.28698771197
Joenkoeping,Saevsjoe,-118871.82978776908
Joenkoeping,Tranaas,-72209.37185715024
Joenkoeping,Vaggeryd,-142106.0684657227
Joenkoeping,Vaernamo,-176033.83361999327
Joenkoeping,Vetlanda,-261447.52034805831
Kalmar,Borgholm,-99558.86376267285
Kalmar,Emmaboda,-97513.42591052591
Kalmar,Hoegsby,-121980.99879877028
Kalmar,Hultsfred,-118368.7055669647
Kalmar,Kalmar,-59288.84527028109
Kalmar,Moensteraas,-32379.894368259673
Kalmar,Moerbylaanga,-48978.505803331034
Kalmar,Nybro,-170032.49663869935
Kalmar,Oskarshamn,-130095.2677580069
Kalmar,Torsaas,-16389.855778791683
Kalmar,Vaestervik,-320714.84992848267
Kalmar,Vimmerby,-98818.87302786707
Kronoberg,Aelmhult,-116680.94403572193
Kronoberg,Alvesta,-96915.08181926995
Kronoberg,Lessebo,-53412.4606355944
Kronoberg,Ljungby,-222771.53810421415
